"animal_id","year_cap","event","wyey","dmp_pasture","birth_site","birth_year"
"270-2010-1-006",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-006",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2020,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-007",2021,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2015,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2016,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2017,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2018,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2019,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2020,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-009",2021,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2010,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2011,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2012,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2013,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2014,1,"west yana","dmp","west yana_dmp",2010
"270-2010-1-010",2015,1,"west yana","dmp","west yana_dmp",2010
