"zero_indices","animal_id","birth_year","bs","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
FALSE,"270-2012-0-344",2012,"wy",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
FALSE,"270-2012-0-345",2012,"wy",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-207",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2012-1-208",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-224",2012,"dmp",0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0
FALSE,"270-2012-1-228",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-229",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,2
FALSE,"270-2012-1-230",2012,"dmp",0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0
FALSE,"270-2012-1-231",2012,"dmp",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2012-1-232",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-233",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2012-1-236",2012,"dmp",0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0
FALSE,"270-2012-1-237",2012,"dmp",0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0
FALSE,"270-2012-1-238",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-248",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
FALSE,"270-2012-1-250",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-260",2012,"dmp",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2012-1-262",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2012-1-263",2012,"dmp",0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2
FALSE,"270-2012-1-265",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2012-1-266",2012,"dmp",0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
FALSE,"270-2012-1-274",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-277",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
FALSE,"270-2012-1-278",2012,"dmp",0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2012-1-284",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-305",2012,"dmp",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FALSE,"270-2012-1-314",2012,"dmp",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2013-0-258",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2013-0-259",2013,"wy",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FALSE,"270-2013-0-260",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2013-0-261",2013,"wy",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
FALSE,"270-2013-0-262",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-0-263",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-0-264",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-0-265",2013,"wy",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
FALSE,"270-2013-0-266",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
FALSE,"270-2013-0-267",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
FALSE,"270-2013-0-268",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
FALSE,"270-2013-0-269",2013,"wy",0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
FALSE,"270-2013-0-270",2013,"wy",0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
