"animal_id","date","year_cap","year_birth","cap_loc","rel_loc","sex","age","weight","dmp_past","B.C.Score","month","monthday","early.late"
"270-2013-1-205",2013-07-01,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-01",1
"270-2013-1-210",2013-07-03,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2013-1-212",2013-07-03,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-03",1
"270-2013-1-216",2013-07-05,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2013-1-217",2013-07-05,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2013-1-225",2013-07-08,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2013-1-227",2013-07-08,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-08",1
"270-2013-1-230",2013-07-10,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2013-1-231",2013-07-10,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2013-1-232",2013-07-10,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2013-1-234",2013-07-10,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-10",1
"270-2013-1-238",2013-07-12,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2013-1-239",2013-07-12,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-12",1
"270-2013-1-242",2013-07-15,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-15",1
"270-2013-1-246",2013-07-17,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-17",1
"270-2013-1-249",2013-07-17,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-17",1
"270-2013-1-252",2013-07-19,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-19",1
"270-2013-1-254",2013-07-22,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-22",1
"270-2013-1-256",2013-07-24,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2013-1-257",2013-07-24,2013,2013,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-24",1
"270-2014-1-402",2014-06-30,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-30",1
"270-2014-1-403",2014-06-30,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-30",1
"270-2014-1-406",2014-07-02,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-02",1
"270-2014-1-407",2014-07-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2014-1-410",2014-07-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2014-1-411",2014-07-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2014-1-412",2014-07-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2014-1-413",2014-07-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-07",1
"270-2014-1-414",2014-07-09,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2014-1-416",2014-07-09,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2014-1-418",2014-07-09,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-09",1
"270-2014-1-421",2014-07-11,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-11",1
"270-2014-1-422",2014-07-14,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-14",1
"270-2014-1-423",2014-07-16,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-16",1
"270-2014-1-428",2014-07-21,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2014-1-429",2014-07-21,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-21",1
"270-2014-1-434",2014-07-25,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-25",1
"270-2014-1-438",2014-08-04,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-04",2
"270-2014-1-439",2014-08-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-07",2
"270-2014-1-440",2014-08-07,2014,2014,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-07",2
"270-2015-1-504",2015-06-29,2015,2015,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-29",1
"270-2015-1-510",2015-07-06,2015,2015,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-06",1
"270-2015-1-528",2015-08-10,2015,2015,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-10",2
"270-2015-1-533",2015-08-17,2015,2015,"West Yana","West Yana","Male",0.1,"","DMP",NA,"august","08-17",2
"270-2016-1-601",2016-06-27,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-27",1
"270-2016-1-602",2016-06-27,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"june","06-27",1
"270-2016-1-603",2016-07-01,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-01",1
"270-2016-1-604",2016-07-01,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-01",1
"270-2016-1-606",2016-07-05,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
"270-2016-1-607",2016-07-05,2016,2016,"West Yana","West Yana","Male",0.1,"","DMP",NA,"july","07-05",1
