p2.5,site
0.827199439,1
0.827018725,1
0.826837862,1
0.82665685,1
0.826476857,1
0.82629756,1
0.826118116,1
0.82599019,1
0.825868804,1
0.825698553,1
0.825511154,1
0.825323597,1
0.82513588,1
0.824948005,1
0.82475997,1
0.824571777,1
0.824383424,1
0.824194912,1
0.824006241,1
0.823817411,1
0.823629065,1
0.823458493,1
0.823321302,1
0.823184027,1
0.823046668,1
0.8229101,1
0.822773951,1
0.82259994,1
0.82239138,1
0.822182626,1
0.822039362,1
0.821902071,1
0.821729773,1
0.82154506,1
0.821360197,1
0.821175183,1
0.82099002,1
0.820804708,1
0.820619245,1
0.820433632,1
0.820248456,1
0.820063212,1
0.819877819,1
0.819678379,1
0.819432541,1
0.819186441,1
0.818940079,1
0.818693455,1
0.81844657,1
0.818199423,1
0.818006064,1
0.817816816,1
0.817628442,1
0.817440271,1
0.817251949,1
0.817063477,1
0.816874853,1
0.816686079,1
0.816497154,1
0.816308077,1
0.816120083,1
0.81593208,1
0.815743929,1
0.81555995,1
0.815417804,1
0.815276477,1
0.815135367,1
0.814994174,1
0.814852897,1
0.814711537,1
0.814570094,1
0.814428567,1
0.814255988,1
0.81407574,1
0.81393214,1
0.813788454,1
0.813644682,1
0.813500825,1
0.813356881,1
0.813212852,1
0.813068737,1
0.812924537,1
0.81278025,1
0.812635877,1
0.812491419,1
0.812346875,1
