animal_id,date,year_cap,year_birth,cap_loc,rel_loc,sex,age,weight,dmp_past,B.C.Score,month
270-2015-1-510,7/6/2015,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2015-1-516,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-517,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-518,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-519,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-520,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-522,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-524,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-525,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-527,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-528,8/10/2015,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2015-1-529,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-533,8/17/2015,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,august
270-2015-1-534,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-535,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-536,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-538,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-540,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-543,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2015-1-545,,2015,2015,West Yana,West Yana,Male,0.1,,DMP,NA,november
270-2016-1-601,6/27/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2016-1-602,6/27/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,june
270-2016-1-603,7/1/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-604,7/1/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-606,7/5/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-607,7/5/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-608,7/5/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-609,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
270-2016-1-610,7/7/2016,2016,2016,West Yana,West Yana,Male,0.1,,DMP,NA,july
